0.000000000000000000e+00,0.000000000000000000e+00
3.470087584550718418e-02,3.472048951788020421e-02
8.577923985132474005e-02,8.578874941299907686e-02
1.447020510503915780e-01,1.447354419240481915e-01
2.419000320229708345e-01,2.419340721281991735e-01
3.061285209147416309e-01,3.061700375862160817e-01
3.708757710352138526e-01,3.709286290455846569e-01
4.476064781943185356e-01,4.476556828041519109e-01
5.319685698991702960e-01,5.320092990383172848e-01
6.175185812243673134e-01,6.175272925902964838e-01
6.981583431463849188e-01,6.981992828510755755e-01
7.760404604696133912e-01,7.760654724353827083e-01
8.402911093298370826e-01,8.402910870657146480e-01
9.102514012093165796e-01,9.102379855037566747e-01
9.490854744494654494e-01,9.490926319176670178e-01
9.907198774735384017e-01,9.907027776173703559e-01
1.000000000000000000e+00,1.000000000000000000e+00
9.192537975737740119e-01,9.192415712483789081e-01
9.100637680338095059e-01,9.100576631898781299e-01
9.393287309621802805e-01,9.393120077228070963e-01
9.514255307902770298e-01,9.513636398304207153e-01
6.881547521416611080e-01,6.880609195239492104e-01
2.692038377432578455e-01,2.691449453639732647e-01
